"stop_id","stop_code","stop_name","stop_lat","stop_lon","location_type","parent_station","wheelchair_boarding","zone_id"
"8802","167 / 1","Ječná","50.7624855041504","15.0851573944092","0","611","2","1"
"8812","167 / 2","Ječná","50.7625007629395","15.0861492156982","0","611","2","1"
"8852","161 / 1","Textilana","50.76516239","15.06921865","0","811","2","1"
"8862","161 / 2","Textilana","50.76530163","15.06918913","0","811","2","1"
"12992","161 / 3","Textilana","50.7649879455566","15.06787109375","0","811","2","1"
"13002","161 / 4","Textilana","50.7649383544922","15.0674638748169","0","811","2","1"
"8882","28 / 1","Fügnerova","50.76582757","15.05792855","0","911","1","1"
"8892","28 / 2","Fügnerova","50.76557332","15.05765985","0","911","1","1"
"8902","28 / 3","Fügnerova","50.76531965","15.05732884","0","911","1","1"
"8912","28 / 4","Fügnerova","50.76512833","15.05708755","0","911","1","1"
"8922","28 / 5","Fügnerova","50.76535283","15.05713657","0","911","1","1"
"8932","28 / 6","Fügnerova","50.76555811","15.05732566","0","911","1","1"
"8942","28 / 7","Fügnerova","50.76583039","15.05767032","0","911","1","1"
"8952","28 / 8","Fügnerova","50.76600598","15.05788892","0","911","1","1"
"10122","28 / 9","Fügnerova","50.7658462524414","15.0569114685059","0","911","1","1"
"12952","28 / 10","Fügnerova","50.7662544250488","15.0562057495117","0","911","1","1"
"13532","28 / 11","Fügnerova","50.7652778625488","15.0575885772705","0","911","1","1"
"13542","28 / 13","Fügnerova","50.76552608","15.05819774","0","911","1","1"
"13572","28 / 12","Fügnerova","50.7652626037598","15.056697845459","0","911","1","1"
"8962","103 / 1","Babylon","50.7593765258789","15.0526542663574","0","1011","2","1"
"8972","103 / 2","Babylon","50.7595100402832","15.0530996322632","0","1011","2","1"
"8982","99 / 1","Nádraží","50.7625122070313","15.046425819397","0","1111","1","1"
"8992","99 / 2","Nádraží","50.7622184753418","15.0466070175171","0","1111","1","1"
"9002","185 / 1","Viadukt","50.76494575","15.04172519","0","1211","1","1"
"9012","185 / 2","Viadukt","50.7652206420898","15.0427093505859","0","1211","1","1"
"12702","185 / 3","Viadukt","50.7645034790039","15.0426197052002","0","1211","1","1"
"12712","185 / 4","Viadukt","50.7649269104004","15.0439577102661","0","1211","1","1"
"9022","27 / 1","Františkov škola","50.7616500854492","15.0350570678711","0","1311","2","1"
"9032","27 / 2","Františkov škola","50.7620239257813","15.0358629226685","0","1311","2","1"
"9042","26 / 1","Františkov sídliště","50.7602348327637","15.0312938690186","0","1411","2","1"
"9052","26 / 2","Františkov sídliště","50.7604026794434","15.0320920944214","0","1411","2","1"
"9062","168 / 1","Domažlická","50.7568855285645","15.0315198898315","0","1511","2","1"
"9072","168 / 2","Domažlická","50.7569732666016","15.0314788818359","0","1511","2","1"
"9092","181 / 1","Husitská","50.75506552","15.02893187","0","1611","2","1"
"9102","181 / 2","Husitská","50.7551574707031","15.0290498733521","0","1611","2","1"
"9112","68 / 1","Kubelíkova","50.7501411437988","15.0328950881958","0","1711","2","1"
"9122","68 / 2","Kubelíkova","50.7502136230469","15.033013343811","0","1711","2","1"
"12802","68 / 4","Kubelíkova","50.7507286071777","15.0320234298706","0","1711","2","1"
"12812","68 / 3","Kubelíkova","50.751033782959","15.0325517654419","0","1711","2","1"
"9132","119 / 1","Banskobystrická","50.7458267211914","15.0357303619385","0","1811","2","1"
"9142","119 / 2","Banskobystrická","50.7461128234863","15.0359230041504","0","1811","2","1"
"9152","221 / 1","Kavkazská","50.7437019348145","15.0371608734131","0","1911","2","1"
"9162","221 / 2","Kavkazská","50.7438354492188","15.0372285842896","0","1911","2","1"
"9172","11 / 1","České mládeže","50.7433586120605","15.0314683914185","0","2011","2","1"
"9182","11 / 2","České mládeže","50.7435302734375","15.0311374664307","0","2011","2","1"
"9192","244 / 2","Průmyslová","50.74298864","15.03594946","0","2111","2","1"
"9202","222 / 1","U Slunného potoka","50.7360000610352","15.0373373031616","0","2211","2","1"
"9212","222 / 2","U Slunného potoka","50.7365036010742","15.0369148254395","0","2211","2","1"
"9222","227 / 1","Prům. zóna Jih","50.7339630126953","15.0415449142456","0","2311","2","1"
"9232","227 / 2","Prům. zóna Jih","50.7339553833008","15.0417604446411","0","2311","2","1"
"9252","238 / 1","OC kino","50.7417449951172","15.0455093383789","0","2511","2","1"
"9262","238 / 2","OC kino","50.7421531677246","15.0457677841187","0","2511","2","1"
"9272","203 / 1","OC Nisa","50.7412719726563","15.0516586303711","0","2611","2","1"
"9282","203 / 2","OC Nisa","50.7408065795898","15.0493021011353","0","2611","2","1"
"9332","59 / 1","Králův Háj","50.7672920227051","15.0824823379517","0","2711","2","1"
"9342","59 / 2","Králův Háj","50.7672538757324","15.0830554962158","0","2711","2","1"
"9352","179 / 1","U Vodárny","50.7664642333984","15.079568862915","0","2811","2","1"
"9362","179 / 2","U Vodárny","50.7668075561523","15.0799932479858","0","2811","2","1"
"9382","23 / 1","Školní","50.765682220459","15.075005531311","0","2911","2","1"
"9392","23 / 2","Školní","50.7657585144043","15.0761775970459","0","2911","2","1"
"9412","186 / 2","Vojtěšská","50.76583059","15.06973316","0","3011","2","1"
"9422","159 / 1","Šaldovo náměstí","50.7693939208984","15.0603408813477","0","3111","2","1"
"9432","159 / 2","Šaldovo náměstí","50.76911462","15.06022417","0","3111","2","1"
"9442","159 / 3","Šaldovo náměstí","50.76975146","15.06137216","0","3111","2","1"
"9452","123 / 1","Poliklinika","50.7682266235352","15.0645065307617","0","3211","2","1"
"9462","123 / 2","Poliklinika","50.7685050964355","15.0640554428101","0","3211","2","1"
"9472","213 / 1","Zimní stadion","50.7539901733398","15.0513391494751","0","3311","2","1"
"9492","228 / 1","Ulice 28.října","50.7555313110352","15.0486869812012","0","3411","2","1"
"9502","273 / 1","Herbenova","50.7542953491211","15.0464239120483","0","3511","2","1"
"9512","214 / 1","Aréna","50.7540702819824","15.0504465103149","0","3611","2","1"
"9542","194 / 1","Žitavská","50.7686195373535","15.0421209335327","0","3711","2","1"
"9552","194 / 2","Žitavská","50.7686767578125","15.0417814254761","0","3711","2","1"
"9572","141 / 1","Růžodol I","50.7750129699707","15.0389137268066","0","3811","2","1"
"9582","141 / 2","Růžodol I","50.774547","15.03921117","0","3811","2","1"
"9592","450 / 1","Úvozní","50.7753524780273","15.0335779190063","0","3911","2","1"
"9602","450 / 2","Úvozní","50.7753372192383","15.034387588501","0","3911","2","1"
"9612","249 / 1","Ostašovská","50.7732276916504","15.0247745513916","0","4011","2","1"
"9622","249 / 2","Ostašovská","50.7730979919434","15.0252161026001","0","4011","2","1"
"9632","250 / 1","Obchodní","50.7754974365234","15.0198822021484","0","4111","2","1"
"9642","250 / 2","Obchodní","50.7751770019531","15.0199947357178","0","4111","2","1"
"9652","251 / 2","Průmyslová zóna sever","50.7793350219727","15.0188913345337","0","4211","2","1"
"9662","7 / 1","Broumovská","50.7598457336426","15.0635099411011","0","4311","2","1"
"9672","120 / 2","Plátenická","50.76016245","15.06666337","0","4411","2","1"
"9682","120 / 1","Plátenická","50.7601699829102","15.0672149658203","0","4411","2","1"
"9692","100 / 2","Na Kačírku","50.7588386535645","15.0704097747803","0","4511","2","1"
"9702","100 / 1","Na Kačírku","50.7595100402832","15.0696897506714","0","4511","2","1"
"9712","198 / 2","Ševčíkova","50.757438659668","15.0705270767212","0","4611","2","1"
"9722","198 / 1","Ševčíkova","50.75746508","15.07086438","0","4611","2","1"
"9732","114 / 1","Pekárny","50.7469100952148","15.0774621963501","0","4711","2","1"
"9742","192 / 2","Zelené Údolí","50.74859517","15.07301013","0","4811","2","1"
"9752","192 / 1","Zelené Údolí","50.74890489","15.07270705","0","4811","2","1"
"9782","63 / 2","Krejčího","50.7523078918457","15.0691766738892","0","4911","2","1"
"9792","63 / 1","Krejčího","50.7518196105957","15.0697240829468","0","4911","2","1"
"9802","14 / 2","Dobiášova","50.7519454956055","15.0638961791992","0","5011","2","1"
"9812","14 / 1","Dobiášova","50.7518501281738","15.063985824585","0","5011","2","1"
"9822","174 / 1","Horní Kopečná","50.7550201416016","15.0633821487427","0","5111","2","1"
"9832","174 / 2","Horní Kopečná","50.7548408508301","15.063756942749","0","5111","2","1"
"9842","172 / 2","U Močálu","50.7569764","15.06112796","0","5211","2","1"
"9852","57 / 1","Košická","50.7601547241211","15.0556774139404","0","5311","2","1"
"9862","57 / 2","Košická","50.7603874206543","15.0554389953613","0","5311","2","1"
"9872","5 / 1","Nám.Dr.E.Beneše","50.770149230957","15.0580272674561","0","5411","2","1"
"9882","5 / 2","Nám.Dr.E.Beneše","50.7701034545898","15.058479309082","0","5411","2","1"
"9892","5 / 3","Nám.Dr.E.Beneše","50.7700309753418","15.0587453842163","0","5411","2","1"
"9902","88 / 1","Malé náměstí","50.7708930969238","15.0532159805298","0","5511","2","1"
"9912","88 / 2","Malé náměstí","50.7708206176758","15.0522737503052","0","5511","2","1"
"9922","178 / 1","U Věže","50.7726097106934","15.0473737716675","0","5611","2","1"
"9932","178 / 2","U Věže","50.7726554870605","15.0469884872437","0","5611","2","1"
"9942","21 / 1","Dožínková","50.7742805480957","15.0432767868042","0","5711","2","1"
"9952","21 / 2","Dožínková","50.7739753723145","15.0446004867554","0","5711","2","1"
"9962","124 / 1","Stračí","50.7810935974121","15.0401544570923","0","5811","2","1"
"9972","124 / 2","Stračí","50.78028795","15.0395697","0","5811","2","1"
"9982","112 / 1","Pavlovice stadion","50.782600402832","15.042142868042","0","5911","2","1"
"9992","112 / 2","Pavlovice stadion","50.78251171","15.04162763","0","5911","2","1"
"10002","113 / 1","Pavlovice škola","50.78400745","15.04539077","0","6011","2","1"
"10012","113 / 2","Pavlovice škola","50.78405832","15.04519362","0","6011","2","1"
"10022","75 / 1","Pavlovice Letná","50.78570111","15.05057078","0","6111","2","1"
"10032","75 / 2","Pavlovice Letná","50.78528395","15.0494228","0","6111","2","1"
"10052","140 / 2","Růžodol Mlýn","50.78139119","15.02856325","0","6211","2","1"
"10062","156 / 1","Stráž nad Nisou Oblouková","50.7852478027344","15.024995803833","0","6311","2","1"
"10072","156 / 2","Stráž nad Nisou Oblouková","50.7850761413574","15.0247898101807","0","6311","2","1"
"10082","153 / 1","Stráž nad Nisou elektrárna","50.7897300720215","15.0212211608887","0","6411","2","1"
"10092","153 / 2","Stráž nad Nisou elektrárna","50.7895240783691","15.0213994979858","0","6411","2","1"
"10102","152 / 1","Stráž nad Nisou","50.7907104492188","15.0260143280029","0","6511","2","1"
"10192","51 / 1","Karlinky","50.7593269348145","15.0218658447266","0","6611","2","1"
"10202","51 / 2","Karlinky","50.7593078613281","15.0217399597168","0","6611","2","1"
"10212","146 / 1","Slévárna","50.7618141174316","15.0209808349609","0","6711","2","1"
"10222","146 / 2","Slévárna","50.7617111206055","15.0208797454834","0","6711","2","1"
"10232","58 / 1","Kovošrot","50.7627868652344","15.0173606872559","0","6811","2","1"
"10242","58 / 2","Kovošrot","50.7626838684082","15.0175638198853","0","6811","2","1"
"10252","109 / 1","Ostašov škola","50.7651443481445","15.0106601715088","0","6911","2","1"
"10262","109 / 2","Ostašov škola","50.7649955749512","15.0103769302368","0","6911","2","1"
"10292","108 / 1","Ostašov","50.76822947","15.0121877","0","7011","2","1"
"10302","53 / 1","Karlovská","50.7715835571289","14.9983921051025","0","7111","2","1"
"10312","53 / 2","Karlovská","50.7715187072754","14.9984149932861","0","7111","2","1"
"10322","13 / 1","Českolipská","50.7747344970703","14.9929237365723","0","7211","2","1"
"10332","13 / 2","Českolipská","50.7746391296387","14.9929571151733","0","7211","2","1"
"10342","52 / 1","Karlov","50.7768898010254","14.9880113601685","0","7311","2","1"
"10352","52 / 2","Karlov","50.7768440246582","14.9879598617554","0","7311","2","1"
"10362","87 / 1","Machnín statek","50.7836608886719","14.9906444549561","0","7411","2","1"
"10372","87 / 2","Machnín statek","50.7836685180664","14.9905614852905","0","7411","2","1"
"10382","85 / 1","Machnín","50.7892074584961","14.991231918335","0","7511","2","1"
"10392","85 / 2","Machnín","50.7888488769531","14.9907932281494","0","7511","2","1"
"10402","86 / 1","Machnín žel. zast.","50.7877616882324","14.9849367141724","0","7611","2","1"
"10412","86 / 2","Machnín žel. zast.","50.7877731323242","14.9856357574463","0","7611","2","1"
"10422","31 / 1","Hamrštejn","50.7841835021973","14.9764060974121","0","7711","2","1"
"10432","31 / 2","Hamrštejn","50.7840423583984","14.97678565979","0","7711","2","1"
"10442","66 / 1","Kryštofovo Údolí lom","50.7791786193848","14.9512329101563","0","7811","2","1"
"10452","66 / 2","Kryštofovo Údolí lom","50.7788276672363","14.9506530761719","0","7811","2","1"
"10462","65 / 1","Kryštofovo Údolí","50.7776679992676","14.9430236816406","0","7911","2","1"
"10472","65 / 2","Kryštofovo Údolí","50.7776298522949","14.9431619644165","0","7911","2","1"
"10482","67 / 1","Kryšt. Údolí ob. úřad","50.77361561","14.93235242","0","8011","2","1"
"10492","67 / 2","Kryšt. Údolí ob. úřad","50.77366946","14.9324986","0","8011","2","1"
"10512","104 / 2","Novina","50.76359853","14.94020593","0","8111","2","1"
"10532","207 / 1","Univerzitní koleje","50.7683372497559","15.0873699188232","0","8311","2","1"
"10552","176 / 1","U Terstu","50.7670593261719","15.0898714065552","0","8411","2","1"
"10562","176 / 2","U Terstu","50.7671813964844","15.0895948410034","0","8411","2","1"
"12372","176 / 4","U Terstu","50.7668685913086","15.0890378952026","0","8411","2","1"
"10572","48 / 1","Vlčí vrch","50.7674179077148","15.0955038070679","0","8511","2","1"
"10582","48 / 2","Vlčí vrch","50.7675323486328","15.095311164856","0","8511","2","1"
"10592","32 / 1","Harcov kostel","50.765869140625","15.0996751785278","0","8611","2","1"
"10602","32 / 2","Harcov kostel","50.7661056518555","15.0990543365479","0","8611","2","1"
"10622","73 / 1","Vřesová","50.7619895935059","15.1050729751587","0","8711","2","1"
"10632","73 / 2","Vřesová","50.7620697021484","15.1049165725708","0","8711","2","1"
"10642","50 / 1","Kadlická","50.7614517211914","15.1103086471558","0","8811","2","1"
"10652","50 / 2","Kadlická","50.7615165710449","15.1102027893066","0","8811","2","1"
"10662","33 / 1","Harcov Myslivna","50.7582168579102","15.1168603897095","0","8911","2","1"
"10672","33 / 2","Harcov Myslivna","50.7583198547363","15.1168746948242","0","8911","2","1"
"10732","149 / 1","Sokolská u zdi","50.77099722","15.05941738","0","9311","2","1"
"10752","162 / 1","Tržní náměstí","50.7757301330566","15.0620937347412","0","9411","2","1"
"10762","162 / 2","Tržní náměstí","50.7739868164063","15.0617513656616","0","9411","2","1"
"12492","162 / 3","Tržní náměstí","50.7736129760742","15.0618839263916","0","9411","2","1"
"10772","195 / 1","Žižkovo náměstí","50.7798233032227","15.0687761306763","0","9511","2","1"
"10782","195 / 2","Žižkovo náměstí","50.7796363830566","15.0687799453735","0","9511","2","1"
"10792","4 / 1","Baltská","50.78210619","15.07085432","0","9611","2","1"
"10802","4 / 2","Baltská","50.7818870544434","15.0704374313354","0","9611","2","1"
"10812","38 / 1","U Trianglu","50.7858963012695","15.0729885101318","0","9711","2","1"
"10822","38 / 2","U Trianglu","50.7862358093262","15.0731983184814","0","9711","2","1"
"10832","175 / 1","U Pramenů","50.78881526","15.07575605","0","9811","2","1"
"10842","175 / 2","U Pramenů","50.7893028259277","15.0752439498901","0","9811","2","1"
"10852","175 / 3","U Pramenů","50.78829214","15.0758278","0","9811","2","1"
"10862","177 / 1","U Transformátoru","50.7911262512207","15.074969291687","0","9911","2","1"
"10872","177 / 2","U Transformátoru","50.7911224365234","15.0747766494751","0","9911","2","1"
"10882","6 / 1","Blanická","50.7949562072754","15.0722799301147","0","10011","2","1"
"10892","6 / 2","Blanická","50.7947998046875","15.0721654891968","0","10011","2","1"
"10902","9 / 1","Kateřinky křižovatka","50.7968902587891","15.089672088623","0","10111","2","1"
"10912","9 / 2","Kateřinky křižovatka","50.796932220459","15.0896911621094","0","10111","2","1"
"10922","56 / 1","Škola Kateřinky","50.7980194091797","15.0970735549927","0","10211","2","1"
"10932","56 / 2","Škola Kateřinky","50.7980270385742","15.0967645645142","0","10211","2","1"
"10942","56 / 3","Škola Kateřinky (školní dvůr)","50.79783223","15.09834294","0","10211","2","1"
"10952","165 / 1","Kateřinky učiliště","50.7969932556152","15.1026697158813","0","10311","2","1"
"10962","165 / 2","Kateřinky učiliště","50.79688327","15.10186535","0","10311","2","1"
"10972","24 / 1","Rudolfov elektrárna","50.794734954834","15.1091785430908","0","10411","2","1"
